XOffset_mm,YOffset_mm,FollowerFinalX_mm,FollowerFinalY_mm,LongitudinalRMSE_mm,LateralRMSE_mm,PathRMSE_mm,MeanAbsLateralError_mm,MaxAbsLateralError_mm,MaxAbsPathError_mm
100,-50,339.18,-10.53,29.3952460296269,7.43276111699762,30.3203962204429,5.5990111665005,15.3216,48.7098407441454
100,-40,371.62,-12.95,29.939709906008,5.90006733873303,30.5155210320502,4.31687599524658,12.1214,45.6458879747125
100,-30,370.95,-2.12,40.4370643323086,3.27476050199046,40.5694494436474,2.63415216972035,7.4664,66.2051652426002
100,-20,372.07,6.83,38.3192798344334,2.16258069617765,38.3802548492984,1.9523918997107,3.1222,66.4748589925544
100,-10,365.59,-5.86,38.7495530808499,5.39835622104853,39.1237793912467,4.81940666666667,7.73,66.5417133641748
100,0,356.26,6.28,40.0358969415729,2.71263181867919,40.1276888856056,2.54654239350913,3.6698,67.6985181382871
100,10,326.71,7.59,40.2349248356509,5.00323598564084,40.5448091234685,4.46957277099519,8.2114,68.8796076100902
100,20,350.15,-0.86,35.9505527740264,2.77121594982223,36.0572029225591,2.58084090601758,3.52,62.896920477874
100,30,341.23,2.88,38.1980025816648,3.96561691750946,38.4033008837171,3.55327942838152,5.568,58.1145766086272
100,40,392.43,-2.99,40.5444581761099,5.35557104739352,40.8966408160622,4.8685544494721,7.008,63.4256556242031
100,50,316.35,19.92,28.7382926950289,12.0516221165002,31.1629758313301,9.46918837789661,25.324,52.3997027854167
